,Click-ABR,6kHz-ABR,12kHz-ABR,18kHz-ABR,24kHz-ABR,30kHz-ABR,RA-S,PPI1,PPI2,PPI3,PPI4,PPI-G,TFI,RER,Na,K,Cl ,BUN,Cr,TP,Alb,T Bil,Ca,P ,AST,ALT,AP,TC,HDL-C,TG   ,Glu,Tail-p,Tail-l,Tail-t,Tail-m,Coat - color-c,Coat-c-c,Coat-c-h,Coat-cp-b,Coat-cp-h,Coat-cp-a,Coat-hd-b,Coat-hd-h,Coat-hd-a,Coat-ht-b,Coat-ht-h,Coat-ht-a,FL-pos,FL-sh,FL-s,HL-pos,HL-sh,HL-s,Vib-pre,Vib-app,Head-s,Head-mor,Ears,Snout-s,Acti.,Tremor,Loco acti.,Gait,SR,U-bhvior,Tr curl,L-Gsp,FP-s,HP-s,FP-sh,HP-sh,FLD-n,HLD-n,FLD-s,HLD-s,FLD-sh,HLD-sh,FLN-n,HLN-n,FLN-l,HLN-l,FLN-sh,HLN-sh,SC-wb,SC-snt,SC-ear,SC-fp,SC-bp,SC-tail,ST-wb,ST-snt,ST-ear,ST-fp,ST-bp,ST-tail,Tee-pre,UTee-app,Ltee-app,Geni-p,Geni-s,Geni-mor,Mou-mor,Ulip-mor,Llip-mor,Cont. r,Voca.,Aggre.,Head-b,Fat mass,Lean mass,BMD,BMC ,Body-l,BMC/BW,Lean/BW,Fat/BW,Bone A,BW ,HR,CV,RR,PQ,PR,QRS,ST,QTc,HRV,QTc Dis.,Rmssd,Eye,BE,Eye bleed,Eye-mor,EL-clo,NEO,Cornea,C-opac.,C-Vasc.,Iris,Pupil-pos,Pupil-sh,Pupil-dil,PLR,Iris PC,Lens,Lens-Opac.,FBCL,Syn.,Optic Disc,RBV,RBVS,RBVP,POHVS,RC,FHGSMM,FAHGSMM,WBCC,RBCC,Hb,HCT,MCV,MCH,MCHC,PLT Ct,MPLTV,RDW,NEU-DIFF,NCC,L-DIFF,LCC,M-DIFF,MCC,Eosi-DIFF,ECC,Baso-DIFF,Heart Weight,FBG,IRGC,AUC,WART,WAAS,PDT,PRT,PPT,PAS,CDT,CRT,CPT,CAS,LTCE,NOCE,TDT,TNOR,PCT,SSH,ZGB,Maxilla,MDB,Teeth,Scap.,Clav.,NOR-R,NOR-L,SOR,FOR,Pelvis,NOCV,NOTV,NOLV,NOPV,SOV,FOV,POV,Humerus,Radius,Ulna,Femur,Tibia,Fibula,Joints,NOD,Synd.,Brach,DI,TL,BCC
CPD037,0.412393049,0.326025332,0.260820265,0,-0.169030851,-0.22830583,-0.436090226,-0.163909774,-0.215037594,-0.252631579,-0.233082707,-0.267669173,0.107142857,-0.179659291,0.179082067,0.023325815,-0.086563849,0.078977065,0.203007519,-0.095560599,-0.248869911,0.427096797,0.305377983,0.358299062,0.47518797,0.410680736,0.046634076,0.054176088,0.242105263,-0.314285714,-0.488905638,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.372550715,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0753743,-0.058853906,-0.148110761,-0.060887513,-0.044386553,-0.098039216,-0.0753743,0.28807438,0.079463364,0.029837651,0.021705452,-0.174406605,-0.082644672,0.407235632,0.407636739,0.202584223,0.27789271,0.482505422,-0.178534572,-0.040247678,-0.186790506,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.064912281,-0.049122807,0.338745096,-0.5098728,-0.169089835,-0.383838717,0.292233464,0.237887771,-0.024615444,-0.005263158,0.434993592,0.037053984,0.197802198,NA,-0.050877193,NA,0.187719298,NA,0.222633742,NA,NA,0.253789824,-0.27957871,-0.104953363,-0.139808721,0.005882353,0.171929825,-0.312280702,-0.098245614,0.238596491,0.273684211,-0.071929825,-0.271929825,-0.187719298,-0.273684211,-0.249122807,0.440350877,-0.201674855,-0.28245614,0.105309356,-0.273684211,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.199881222
CPD047,-0.412393049,0.182574186,-0.182574186,0.251976315,0.169030851,-0.038050972,-0.016541353,0.403007519,0.212030075,0.019548872,0.233082707,0.242105263,0.107142857,0.12183791,-0.480812777,-0.30699783,-0.29130617,0.239187681,-0.22556391,0.15425136,0.01206642,-0.208603067,-0.331703671,0.155062199,0.028571429,0.015795413,-0.220383618,-0.13694511,-0.17593985,-0.012030075,-0.088003015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.074660973,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.205472407,0.343830712,-0.198862001,0.232198142,0.226160054,0.188854489,0.451213276,-0.10635004,0.424148607,0.143922787,0.005167965,-0.407636739,-0.004132234,-0.15297176,-0.116615067,0.050646056,-0.371901025,-0.252916328,-0.384932921,0.031991744,-0.271413829,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.221052632,0.180701754,0.000877578,-0.179903484,0.245708667,-0.454985024,-0.215884181,0.410576671,0.394726228,-0.314035088,-0.298612405,0.032642795,0.148351648,NA,-0.042105263,NA,-0.1,NA,0.167282812,NA,NA,0.195780722,0.37980504,-0.005912866,0.289919137,0.317647059,-0.3,0.096491228,-0.298245614,-0.249122807,-0.294736842,-0.131578947,0.289473684,0.328070175,0.294736842,-0.163157895,-0.505263158,0.479968542,0.228070175,0.408951334,0.294736842,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.092537603
CPD079,-0.577350269,0.691173704,0.169533173,0.125988158,-0.281718085,-0.59613189,0.087218045,-0.052631579,-0.112781955,-0.033082707,-0.088721805,-0.093233083,0.178571429,-0.111512663,-0.181339404,-0.065462772,-0.054949226,0.009778113,0.105263158,-0.2340106,-0.274511053,0.339879136,-0.105302753,-0.143771262,0.187969925,0.35502071,0.023317038,-0.418359787,-0.231578947,0.196992481,0.003760813,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.013574722,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.33453799,-0.049561184,-0.076644729,-0.102167183,0.08665946,0.223942208,0.161073847,-0.305627299,-0.001031992,-0.146555521,0.304909927,-0.442724458,-0.325413397,0.13540068,0.062951496,-0.007235151,0.090909139,0.083486943,-0.448916409,0.046439628,-0.413828689,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.30877193,-0.198245614,0.214129025,0.299254088,0.213123646,0.265261539,0.00438789,-0.211455796,-0.207473029,0.045614035,0.074875946,-0.249673271,-0.010989011,NA,-0.019298246,NA,0.171929825,NA,0.311195231,NA,NA,0.290045514,-0.267521407,0.548418278,-0.239882331,-0.264705882,0.056140351,-0.219298246,-0.480701754,-0.035087719,-0.136842105,-0.340350877,0.021052632,0.145614035,0.136842105,-0.335087719,-0.012280702,0.083664241,-0.122807018,0.096533577,0.136842105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.214687238
CPD590,-0.577350269,0.065205066,-0.495558504,0.251976315,-0.394405319,-0.431244346,0.184962406,0.003007519,0.04962406,0.357894737,0.183458647,0.139849624,0.107142857,-0.153846174,0.116629077,-0.238525274,0.328942626,0.591199741,-0.031578947,-0.192626089,-0.190800265,-0.07013379,-0.002256488,0.140760346,-0.147368421,0.155697642,0.132380604,-0.241535057,-0.261654135,0.87518797,-0.065438139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.190800265,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.115642762,0.282911757,0.189540344,0.411764706,0.247296508,0.011351909,0.256066116,-0.18172434,0.432404541,0.187801685,-0.457881687,0.287925697,0.488636624,-0.378295028,-0.401444788,-0.084754624,0.261363776,0.216083853,0.296181631,-0.172342621,0.250773994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.261403509,-0.122807018,-0.23782363,0.258007923,0.274770982,0.077294753,-0.053532256,0.004405329,0.134505819,-0.078947368,-0.092703552,0.130571181,-0.181318681,NA,0.10877193,NA,-0.296491228,NA,0.01845031,NA,NA,-0.210282997,-0.012810884,-0.096084065,0.033848427,0.211764706,-0.252631579,0.105263158,-0.156140351,-0.554385965,-0.571929825,-0.019298246,0.470175439,0.570175439,0.571929825,-0.41754386,-0.224561404,0.192868093,0.235087719,0.286967996,0.571929825,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.120915801
CPD668,-0.412393049,-0.052164053,-0.443394451,0.251976315,-0.507092553,-0.405877032,0.22406015,-0.031578947,0.043609023,0.272180451,0.102255639,0.091729323,0,-0.110480139,0.144469567,-0.166290491,0.349266312,0.455810487,0.111278195,0.009029348,-0.205129138,-0.068335488,-0.033847313,-0.032367352,-0.209022556,0.112824378,0.16998873,-0.191121198,-0.12481203,0.923308271,-0.081233552,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.20588329,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.098089843,0.246773394,0.166754073,0.453044376,0.176489388,0.048503612,0.195147161,-0.184821914,0.469556244,0.170250126,-0.407235632,0.424148607,0.435950646,-0.347287239,-0.3374613,-0.079586659,0.15495876,0.074892699,0.438596491,-0.164086687,0.351909185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.277192982,-0.00877193,-0.007020624,0.524791626,0.455309608,0.075538054,-0.301009244,-0.07577166,0.194286184,-0.068421053,-0.044569016,0.129688943,-0.445054945,NA,0.2,NA,-0.226315789,NA,0.041820703,NA,NA,-0.239287549,-0.20045266,-0.026607895,0.013245037,0.15,-0.149122807,0.068421053,-0.20877193,-0.405263158,-0.440350877,-0.064912281,0.378947368,0.445614035,0.440350877,-0.235087719,-0.124561404,0.088948299,0.136842105,0.096533577,0.440350877,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.013572182
CPD669,-0.24743583,-0.013041013,-0.065205066,0.125988158,-0.619779787,-0.469295318,0.130827068,-0.04962406,0.019548872,0.153383459,-0.055639098,0.031578947,-0.142857143,-0.155911224,0.177577176,-0.127163317,0.225066007,0.035351638,0.320300752,-0.021068478,-0.222474617,0.106998987,-0.061677327,-0.092585682,-0.106766917,0.09251599,0.073711927,-0.212942122,-0.034586466,0.687218045,0.078224902,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.049019831,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.147651026,-0.023748067,0.352151459,0.42002064,0.052841134,0.168214654,-0.023748067,-0.238513196,0.349845201,-0.057920146,-0.128165529,0.438596491,0.100206665,-0.109560855,-0.1124871,-0.14263583,0.054752095,-0.119091669,0.450980392,-0.021671827,0.310629515,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,-0.157894737,0.171127704,0.544975919,0.493178686,-0.01581029,-0.451075076,-0.090749779,0.264616024,0.094736842,0.099834595,0.239086419,-0.395604396,NA,0.159649123,NA,-0.092982456,NA,0.121772047,NA,NA,-0.108767068,-0.519217604,0.303034359,-0.407652796,-0.247058824,0.149122807,-0.128070175,-0.298245614,-0.243859649,-0.277192982,-0.303508772,0.11754386,0.3,0.277192982,-0.238596491,0.136842105,-0.096874385,-0.143859649,-0.025449761,0.277192982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.341772212
CPD765,-0.08247861,-0.417312425,-0.625968637,0.125988158,-0.169030851,0.012683657,0.327819549,0.263157895,0.491729323,0.476691729,0.242105263,0.45112782,-0.464285714,0.071244202,0.053423642,-0.140707339,0.276251587,0.116585191,-0.171428571,-0.27389022,0.289594078,-0.100704929,-0.108311403,0.173880427,-0.230075188,0.060925164,-0.362542335,0.012791576,-0.273684211,0.368421053,0.475366713,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.23001613,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.266391362,-0.1507486,0.615229314,0.391124871,0.048613843,0.207430341,0.020650493,-0.340733138,0.151702786,-0.376480949,0.107493669,0.054695562,-0.036157044,-0.574677693,-0.593395253,-0.255297464,-0.034090927,-0.110497425,0.075335397,0.15376677,-0.052631579,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.435087719,0.064912281,-0.153576145,-0.028960073,-0.272128953,-0.178304942,-0.014041248,-0.118943885,0.072967209,0.178947368,-0.039220734,0.320252288,0.093406593,NA,-0.18245614,NA,-0.031578947,NA,0.191883225,NA,NA,0.087013654,-0.094197679,-0.03695541,0,0.126470588,-0.187719298,0.173684211,-0.11754386,-0.464912281,-0.454385965,-0.066666667,0.442105263,0.394736842,0.454385965,-0.089473684,-0.415789474,0.273890306,0.2,0.134269429,0.454385965,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.141890991
CPD784,-0.24743583,0.091287093,-0.456435465,0.251976315,0.169030851,-0.050734629,0.043609023,0.204511278,0.117293233,0.165413534,0.196992481,0.168421053,0.571428571,0.02891069,-0.234763046,-0.288939134,-0.051938309,0.761940633,-0.028571429,-0.082769023,-0.184767055,-0.248165718,-0.142910879,0.470455701,-0.123308271,0.084994365,-0.004512975,-0.282167123,-0.327819549,0.407518797,-0.217374968,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.03619926,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.214765129,0.369643828,-0.076644729,0.269349845,0,0.015479876,0.518327379,-0.169334044,0.395252838,0.192189575,-0.388630958,-0.091847265,0.418388653,-0.297674776,-0.232198142,0.292506811,-0.147727352,0.066298455,-0.075335397,-0.24871001,-0.034055728,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.48245614,0.189473684,-0.200965355,-0.160596768,0.29854924,-0.367150077,0.091268109,0.444057172,0.453627469,-0.494736842,-0.234433022,-0.028231607,0.203296703,NA,-0.143859649,NA,-0.194736842,NA,0.051660868,NA,NA,0.014502276,0.234363824,-0.427204535,0.263429063,0.373529412,-0.405263158,0.166666667,-0.031578947,-0.287719298,-0.275438596,0.078947368,0.412280702,0.29122807,0.275438596,-0.149122807,-0.4,0.366361309,0.389473684,0.602896065,0.275438596,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.013572182
CPD819,0.412393049,-0.143451146,-0.169533173,0,0.169030851,0.038050972,-0.218045113,0.006015038,-0.057142857,-0.061654135,0.039097744,-0.027067669,0.321428571,0.128033058,-0.253574188,-0.18209185,-0.237109673,0.264761207,0.079699248,0.014296468,0.02413284,-0.252661474,-0.152688992,0.297328003,-0.24962406,-0.338473134,-0.108311403,0.054176088,-0.058646617,-0.012030075,-0.070703277,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.573909097,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.155911224,0.236448147,-0.016571833,0.199174407,0.013738695,-0.151702786,0.116675287,0.238513196,0.20123839,-0.036858275,-0.578812065,0.263157895,0.505165559,0.223256082,0.304437564,0.212920153,-0.060950446,-0.022099485,0.269349845,0.034055728,0.347781218,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.012280702,-0.145614035,-0.225537538,-0.394910086,0.197271474,-0.557751911,-0.012286092,0.60264902,0.603957503,0.001754386,-0.126576004,0.069696779,0.071428571,NA,0.126315789,NA,-0.354385965,NA,-0.231243887,NA,NA,-0.420565995,0.06330084,-0.22468889,-0.026490073,0.014705882,0.236842105,0.071929825,-0.007017544,0.112280702,0.133333333,-0.114035088,-0.115789474,-0.087719298,-0.133333333,0.161403509,0.201754386,-0.044033811,-0.096491228,0.091268109,-0.133333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.162866181
CPD842,0.082973981,0.721563611,0.48541552,0.633724251,0.340092121,0.108458606,-0.138868913,-0.07698168,-0.219624205,-0.363776175,-0.332077836,-0.301888942,0.035714286,0.072652583,-0.387086359,-0.140484025,-0.140536948,-0.073235606,-0.021886948,-0.406723911,-0.233535268,-0.078571521,0.107965893,0.053268037,0.070189179,-0.183089014,-0.554174584,-0.153323963,-0.485286474,-0.081510014,0.438658628,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.278198414,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.022762573,0.109674214,0.261546762,0.034126236,0.166264684,-0.001034128,0.039317171,0.093119616,-0.118924763,-0.051868177,-0.021750391,-0.226474114,0.014492761,0.036250652,0.129266047,0.30864841,-0.217391421,-0.116923099,-0.234747141,0.063081831,-0.249224938,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.164759308,0.222909652,0.032613743,-0.237992176,-0.107032297,0.06793151,0.497139213,0.302212389,0.090066445,0.324232221,0.048347052,0.049623438,0.720770971,NA,-0.071366331,NA,0.082820187,NA,0.172626518,NA,NA,0.130749264,-0.163767207,-0.260611224,-0.459609932,-0.48742078,0.088106582,-0.239649902,-0.072247397,0.161235045,0.192953414,-0.078414858,-0.286346391,-0.136565202,-0.192953414,-0.074009529,0.272249338,-0.062804075,-0.138327333,-0.039665363,-0.192953414,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.225110334
CPD926,0.497843888,0.209909414,0.360781806,-0.316862125,-0.11336404,-0.006379918,-0.313831493,0.092440465,0.174005581,0.035733289,0.133611428,0.11108392,0.450468731,0.178787769,-0.218836792,0.02837493,-0.216586168,0.007771028,0.292080796,-0.153535583,-0.075967856,0.224681985,-0.144152574,0.060659681,0.14837083,0.071882011,0.09908061,-0.183076606,0.066805714,-0.278875015,0.048957478,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.092330163,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.112754218,-0.119136532,0.07789327,-0.113759192,-0.328802846,-0.00956853,0.053185952,-0.208488932,-0.154159653,-0.015956742,-0.045787244,0.030831931,0.030863798,-0.19912127,-0.115885532,0.303473594,-0.334180437,-0.327544052,0.01382121,-0.115885532,0.147780633,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.39580895,0.059371342,-0.303286722,-0.080996454,-0.022578447,-0.215279674,0.136794011,0.078607754,0.210059994,-0.273468002,-0.233099318,0.049760655,0.542589413,NA,-0.293258449,NA,-0.161921843,NA,0.056577596,NA,NA,0.015037594,-0.145203078,-0.166791183,-0.341742224,-0.20889462,0.084559185,-0.241083633,0.174515764,0.185310554,0.257275817,-0.145729659,-0.138533132,-0.307651502,-0.257275817,-0.093554843,-0.0341835,-0.220365642,-0.053973948,0.25468885,-0.257275817,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.418711247
CPD928,0.497843888,0.236148091,0.124633715,-0.063372425,0.11336404,0.082938934,-0.250133022,0.117298405,0.122736079,0.040394153,0.128950564,0.090886843,0.48650623,0.221907172,-0.090566559,0.009717442,-0.200254715,0.052842992,0.211292491,-0.229720327,-0.114146573,0.082679234,0.102189022,0.173424472,0.014759402,-0.024478739,0.037689487,-0.073463861,-0.045055016,-0.30994744,-0.016319159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.050255658,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.007446033,-0.141474632,0.008536249,-0.220076195,-0.39848292,-0.113759192,0.058504547,-0.0223381,-0.309382477,-0.058811993,-0.158658125,0.083990432,0.190504134,-0.132037634,-0.062727031,0.317316249,-0.137290689,-0.066512777,0.066979711,-0.028705591,0.198812794,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.31664716,0.115144422,-0.324885777,-0.23938952,-0.253781743,-0.020717291,0.474279237,0.09758204,-0.00360618,-0.151127053,-0.117920831,-0.123044529,0.429549952,NA,-0.170917501,NA,-0.160122711,NA,-0.072922234,NA,NA,-0.007518797,-0.048660549,-0.57930152,-0.060045814,-0.054816319,-0.061170474,-0.082760053,0.399407213,0.269869738,0.376018502,0.127738343,-0.140332264,-0.428193318,-0.376018502,0.169118369,0.003598263,-0.098442029,0.075563527,0.157493105,-0.376018502,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.243407442
