,Click-ABR,6kHz-ABR,12kHz-ABR,18kHz-ABR,24kHz-ABR,30kHz-ABR,RA-S,PPI1,PPI2,PPI3,PPI4,PPI-G,TFI,RER,Na,K,Cl ,BUN,Cr,TP,Alb,T Bil,Ca,P ,AST,ALT,AP,TC,HDL-C,TG   ,Glu,Tail-p,Tail-l,Tail-t,Tail-m,Coat - color-c,Coat-c-c,Coat-c-h,Coat-cp-b,Coat-cp-h,Coat-cp-a,Coat-hd-b,Coat-hd-h,Coat-hd-a,Coat-ht-b,Coat-ht-h,Coat-ht-a,FL-pos,FL-sh,FL-s,HL-pos,HL-sh,HL-s,Vib-pre,Vib-app,Head-s,Head-mor,Ears,Snout-s,Acti.,Tremor,Loco acti.,Gait,SR,U-bhvior,Tr curl,L-Gsp,FP-s,HP-s,FP-sh,HP-sh,FLD-n,HLD-n,FLD-s,HLD-s,FLD-sh,HLD-sh,FLN-n,HLN-n,FLN-l,HLN-l,FLN-sh,HLN-sh,SC-wb,SC-snt,SC-ear,SC-fp,SC-bp,SC-tail,ST-wb,ST-snt,ST-ear,ST-fp,ST-bp,ST-tail,Tee-pre,UTee-app,Ltee-app,Geni-p,Geni-s,Geni-mor,Mou-mor,Ulip-mor,Llip-mor,Cont. r,Voca.,Aggre.,Head-b,Fat mass,Lean mass,BMD,BMC ,Body-l,BMC/BW,Lean/BW,Fat/BW,Bone A,BW ,HR,CV,RR,PQ,PR,QRS,ST,QTc,HRV,QTc Dis.,Rmssd,Eye,BE,Eye bleed,Eye-mor,EL-clo,NEO,Cornea,C-opac.,C-Vasc.,Iris,Pupil-pos,Pupil-sh,Pupil-dil,PLR,Iris PC,Lens,Lens-Opac.,FBCL,Syn.,Optic Disc,RBV,RBVS,RBVP,POHVS,RC,FHGSMM,FAHGSMM,WBCC,RBCC,Hb,HCT,MCV,MCH,MCHC,PLT Ct,MPLTV,RDW,NEU-DIFF,NCC,L-DIFF,LCC,M-DIFF,MCC,Eosi-DIFF,ECC,Baso-DIFF,Heart Weight,FBG,IRGC,AUC,WART,WAAS,PDT,PRT,PPT,PAS,CDT,CRT,CPT,CAS,LTCE,NOCE,TDT,TNOR,PCT,SSH,ZGB,Maxilla,MDB,Teeth,Scap.,Clav.,NOR-R,NOR-L,SOR,FOR,Pelvis,NOCV,NOTV,NOLV,NOPV,SOV,FOV,POV,Humerus,Radius,Ulna,Femur,Tibia,Fibula,Joints,NOD,Synd.,Brach,DI,TL,BCC
CPD037,0.894579091,0.974228681,0.642470686,0.597737299,0.500290231,0.585514087,0.581232598,0.662617486,0.538013822,0.221267329,0.2528342,0.385399662,0.083333333,0.415247113,0.571149758,0.613145131,0.484521134,0.726281357,0.370130595,0.691570176,0.566238563,0.583887314,0.14058868,0.092337246,0.775722693,0.493714443,0.688687248,0.203564303,0.065282029,0.681003595,0.361510275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.404430503,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.126992518,0.775722693,0.629052743,0.641297078,0.9942673,0.346124959,0.205987223,0.105230099,0.979877507,0.851187947,0.951337833,0.260051155,1,0.643896485,0.650664781,0.69465921,0.851469306,0.395130099,0.326595445,0.115576495,0.343622853,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01005212,0.299285372,0.383814957,0.227133596,0.001150937,0.501535097,0.451372452,0.032895256,0.677161912,0.741905326,0.434601207,0.33280874,0.109632452,NA,0.128534792,NA,0.255305932,NA,0.884348436,NA,NA,0.304341561,0.907281903,0.454484776,0.08803764,0.475415376,0.728677101,0.293205108,0.671918492,0.743101808,0.476174627,0.509934361,0.275434002,0.576842984,0.476174627,0.306485998,0.488241914,0.400598533,0.330858523,0.118521746,0.476174627,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.632656325
CPD047,0.333601087,0.327952835,0.13694748,0.878086599,0.694397428,0.449908207,0.488241914,0.039831128,0.126825629,0.414490572,0.440913257,0.096001407,0.083333333,0.115603729,0.324816994,0.223871754,0.275184094,0.023166935,0.126305597,0.673115694,0.130074764,0.248748953,0.173754751,0.933947475,0.922491465,0.179956173,0.888222456,0.203564303,0.540955382,0.92896297,0.029655608,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.131042669,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.288569197,0.956895741,0.68892332,0.848491916,0.977071887,0.630941234,0.550650104,0.338580783,0.91105049,0.559433077,0.838707416,0.650313647,0.901814419,0.414557177,0.483398719,0.546430807,0.168981858,0.016009673,0.557796725,0.173626237,0.843479962,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.788865523,0.786869017,0.352330435,0.235636617,0.435034598,0.212331645,0.271106988,0.915572652,0.595026614,0.26738899,0.685810917,0.313960194,0.817283291,NA,0.686448936,NA,0.509728868,NA,0.84451487,NA,NA,0.509420588,0.252323819,0.20493242,0.463354201,0.093880928,0.585636822,0.801607069,0.555118338,0.347374223,0.302354844,0.959823248,0.681266912,0.168419054,0.302354844,0.676958441,0.287203118,0.745075723,0.982248374,0.429480087,0.302354844,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.938350291
CPD079,0.333601087,0.227437007,0.68816358,0.758239181,0.740058222,0.345511059,0.977177636,1,0.747929204,0.956905273,0.881216686,0.738283881,0.45,0.152887807,0.928931841,0.911816594,0.737249698,0.794436058,0.563399998,0.467821524,0.634028326,0.718428282,0.593638042,0.781263486,0.945416307,0.555527252,0.056349814,0.490479273,0.636110837,0.251936581,0.046545964,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.660543736,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.022241629,0.575230486,0.261451208,0.240446766,0.798477375,0.025452818,0.0189143,0.03584886,0.203275371,0.992391679,0.145327842,0.68037718,0.149884438,0.918809514,0.931944687,0.32409239,0.158167691,0.270621123,0.830613988,0.62077132,0.298049947,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.944796723,0.396168703,0.626636234,0.195113619,0.07665104,0.239093951,0.72946201,0.603059956,0.680167458,0.754411858,0.809181855,0.543884098,0.470905694,NA,0.099813228,NA,0.126525389,NA,0.32733992,NA,NA,0.28210708,0.256485205,0.187617191,0.279472639,0.457470587,0.681266912,0.846201667,0.496371849,0.616864796,0.559433077,0.919739563,0.625911205,0.468215881,0.559433077,0.362203989,0.972107765,0.480987386,0.846201667,0.987319786,0.559433077,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.775415818
CPD590,0.49906138,0.404572445,0.665204587,0.853886323,0.500290231,0.820380411,0.891264115,0.936659068,0.681266912,0.941717496,0.796686746,0.757611736,0.683333333,0.289700718,0.081253191,0.180416619,0.095443761,0.310573775,0.686448936,0.029505485,0.040293896,0.095426056,0.281148039,0.041336553,0.071390822,0.748183696,0.240446766,0.002227458,0.010682744,3.26E-05,0.431234389,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.165800021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.123156306,0.475415376,0.233573767,0.170212011,0.092371569,0.24961998,0.710135659,0.064109807,0.309401173,0.801607069,0.467693663,0.446349533,0.431460055,0.857571598,0.864335922,0.466519133,0.781793658,0.883754138,0.508539186,0.766978715,0.68037718,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.152095218,0.856179824,0.51390524,0.990262331,0.490999541,0.555780488,0.947545763,0.299748519,0.600755438,0.466618171,0.050199158,0.983737533,0.378709234,NA,0.456424978,NA,0.325644761,NA,0.584424327,NA,NA,0.244539836,0.024706762,0.009762657,0.312360092,0.172612737,0.050690771,0.228898214,0.02506256,0.433273062,0.921498955,0.24802068,0.585636822,0.381847637,0.921498955,0.030365221,0.886238253,0.476987105,0.118521746,0.19475668,0.921498955,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.306569384
CPD668,0.333601087,0.327952835,0.511606921,0.511606921,0.384516077,0.282947671,0.728677101,0.906365597,0.448625307,0.806534795,0.542266559,0.533776867,0.516666667,0.168044273,0.075674449,0.25897869,0.200587855,0.4927741,0.692539609,0.116706087,0.060637662,0.048094372,0.549373514,0.172612737,0.076583314,0.667470561,0.536138137,0.015422961,0.154057555,8.86E-06,0.385324444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.144833143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.393456867,0.688687248,0.606190962,0.507666215,0.272397792,0.742710624,0.91676896,0.302356678,0.620652753,0.987319786,0.253244704,0.202925905,0.218759819,0.743897557,0.683488984,0.886444898,0.707564321,0.467202108,0.252844061,0.805011739,0.383814957,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.221853457,0.639580201,0.524718976,0.886737061,0.925441112,0.430118179,0.760687928,0.608829027,0.66518645,0.710921783,0.337910036,0.925286834,0.286690914,NA,0.436393177,NA,0.148060534,NA,0.974784093,NA,NA,0.653164926,0.033827972,0.083570199,0.895015528,0.097025875,0.046575392,0.154266141,0.062722332,0.385399662,0.831278236,0.212900634,0.396168703,0.653365089,0.831278236,0.057216426,0.747929204,0.445593678,0.065787944,0.063731714,0.831278236,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.880246231
CPD669,0.333601087,0.327952835,0.511606921,0.255617943,0.125720765,0.153988346,0.635010803,0.685958524,0.247379276,0.350735334,0.308552435,0.284231482,0.233333333,0.331836785,0.098152279,0.184228092,0.113935191,0.57378216,0.274857726,0.066734487,0.065375273,0.108318471,0.97439988,0.095443761,0.21991348,0.9741299,0.854147973,0.08803764,0.431234389,0.001200624,0.435549509,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.165800021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.630941234,0.555527252,0.593638042,0.517073632,0.280768109,0.956895741,0.951154837,0.461923136,0.575230486,0.901327976,0.477982863,0.119785434,0.431460055,0.552175451,0.531268606,0.706837084,0.970792231,0.736630147,0.149884438,0.947545763,0.121931085,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.508038098,0.403441701,0.843479962,0.800662575,0.883521538,0.346761097,0.426557175,0.793942767,0.635588339,0.947545763,0.578215429,0.722293788,0.354332534,NA,0.34796054,NA,0.264452868,NA,0.708385374,NA,NA,0.533357681,0.050428601,0.298241628,0.745190716,0.057411615,0.03206396,0.07338808,0.137339295,0.213809039,0.414490572,0.187973783,0.162246025,0.767330127,0.414490572,0.073684542,0.861177113,0.154407392,0.03206396,0.049011898,0.414490572,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.98700995
CPD765,0.333601087,0.327952835,0.240524519,0.373770543,0.952132436,0.90977184,0.866179629,0.055997489,0.003115674,0.0988034,0.026557555,0.00469707,1,0.876019904,0.236357758,0.325994752,0.338580783,0.532569772,0.662278717,0.355129293,0.844370067,0.357338251,0.470063285,0.625788472,0.550650104,0.90533633,0.381294509,0.797195714,0.309401173,0.198152296,0.656953556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.909676269,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.945416307,0.493714443,0.372734435,0.172612737,0.484863995,0.295412658,0.710135659,0.73180116,0.084901561,0.836246629,0.079045774,0.656285912,0.07922373,0.365649243,0.420618567,0.676525816,0.403605164,0.632376968,0.710921783,0.817790212,0.206028883,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.001607193,0.437084141,0.668291745,0.889954269,0.769277812,0.242583403,0.137734948,0.713094831,0.129524134,0.563399998,0.153648778,0.1243424,0.635139955,NA,0.446349533,NA,0.701627962,NA,0.894350732,NA,NA,0.474446595,0.667817308,0.38071366,0.17498538,0.357626944,0.476174627,0.644162476,0.05785896,0.881216686,0.667261987,0.929746685,0.891264115,0.364372006,0.667261987,0.261914847,0.255590867,0.952243755,0.496371849,0.14656918,0.667261987,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.954555218
CPD784,0.49906138,0.532098549,0.829785231,0.878086599,0.384516077,0.21339733,0.484202379,0.204131513,0.236702524,0.866179629,0.881216686,0.452508096,0.083333333,0.184210638,0.030089574,0.008817644,0.211484164,0.034806771,0.286306455,0.321383624,0.931768129,0.00205519,0.017075872,0.139019438,0.246537261,0.147477853,0.715532263,0.92896297,0.600284279,0.422013246,0.077924999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.919679244,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.517073632,0.077924999,0.144877742,0.068897218,0.106561716,0.401685536,0.426942544,0.222772497,0.032981415,0.162246025,0.64458764,0.68037718,0.68037718,0.876842579,0.944886779,0.543672292,0.899615523,0.65199692,0.888797701,0.130792164,0.967202666,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.487684328,0.946778134,0.541140264,0.928674816,0.244340181,0.253244704,0.173626237,0.538387794,0.536291186,0.72326495,0.518997101,0.996747311,0.209564352,NA,0.135392084,NA,0.61554317,NA,0.834607249,NA,NA,0.829848922,0.10672854,0.511319032,0.066118445,0.939680427,0.278346926,0.681266912,0.179070538,0.472186585,0.714342079,0.58000101,0.73347559,0.791774004,0.714342079,0.70500066,0.26397787,0.530260646,0.516989003,0.982248374,0.714342079,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03950663
CPD819,0.333601087,0.384743302,0.642470686,0.240524519,0.266876189,0.468435637,0.504568984,1,0.816411747,0.521161763,0.743101808,0.861177113,0.783333333,0.521379269,0.780579322,0.988600712,0.502994234,0.307019561,0.003985461,0.57378216,0.382509337,0.539109598,0.68892332,0.484521134,0.27190069,0.036595548,0.9741299,0.957344959,0.871157228,0.827697371,0.225656214,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.185358679,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.550650104,0.020287441,0.004976035,0.032981415,0.01873885,0.295412658,0.252727717,0.182451333,0.125063743,0.016043222,0.37117903,0.196815079,0.370130595,0.722293788,0.732199223,0.115398206,0.348941872,0.952515614,0.199854666,0.785935689,0.228645072,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.597723421,0.723888577,0.986878171,0.022422433,0.781793658,0.987016668,0.339317439,0.140735866,0.674160999,0.650313647,0.103693859,0.97398259,0.683365534,NA,0.170867036,NA,0.592557039,NA,0.611200464,NA,NA,0.341914533,0.262101048,0.153727165,0.452281094,0.149648457,0.399795874,0.258367025,0.836246629,0.269666837,0.321181894,0.524450846,0.261162688,0.630454425,0.321181894,0.617625405,0.142825467,0.341353253,0.261162688,0.2528342,0.321181894,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.082982385
CPD842,0.488052691,0.333601087,0.611158237,0.752409433,0.409595448,0.617857214,0.657608603,0.832711105,0.853389985,0.155993335,0.393550661,0.408806471,0.683333333,0.148853444,0.521212788,0.056912906,0.352123465,0.311476589,0.160163023,0.43676267,0.059606173,0.087158921,0.515284251,0.979319979,0.012724503,0.063486477,0.566563621,0.682871668,0.55895113,0.952730978,0.025870161,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.822146783,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.751258668,0.862338156,0.880109238,0.757009139,0.927364326,0.791759454,0.722699632,0.874213816,0.945924688,0.315462624,0.861378825,0.864868487,0.858175054,0.185918766,0.23029148,0.437905425,0.197125255,0.206928453,0.905198061,0.922072982,0.663499198,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.791605017,0.721191742,0.569915155,0.01908051,0.085860012,0.7022422,0.201797471,0.966499228,0.256595117,0.272616226,0.645450481,0.393014675,0.822799126,NA,0.903337817,NA,0.788386774,NA,1,NA,NA,0.629466991,0.247312738,0.644536606,0.68875944,0.815141358,0.936900506,0.573255327,0.047741119,0.731144505,0.481296598,0.026618289,0.524149803,0.440261643,0.481296598,0.748477557,0.555170091,0.976273651,0.895012287,0.532929155,0.481296598,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.322829046
CPD926,0.186886583,0.15843888,0.342854087,0.361168126,0.877672175,0.704179927,0.259094141,0.691596911,0.776424714,0.137889172,0.573255327,0.506797062,0.740581942,0.49483968,0.598611819,0.691039998,0.23586397,0.453897859,0.18352236,0.421871623,0.390877711,0.473707316,0.748281087,0.31620014,0.148042009,0.700100522,0.987975306,0.889046005,0.48010241,0.351371249,0.415378367,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.609626684,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.564021111,0.40829345,0.416797157,0.378588644,0.533099806,0.605285375,0.763904652,0.967507683,0.436967618,0.711281945,0.883336982,0.313131139,0.943253473,0.752386394,0.817632577,0.468657565,0.76570487,0.349860432,0.304756352,0.569915155,0.59910045,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.64549601,0.241825831,0.284658613,0.930451123,0.030927255,0.834654713,0.952523189,0.009239921,0.209145034,0.311712881,0.635525864,0.272110098,0.382302135,NA,0.629559958,NA,0.567995008,NA,0.763868169,NA,NA,0.472388467,0.118551981,0.532487612,0.5165043,0.055821124,0.004155213,0.005248627,0.092532235,0.013493706,0.047741119,0.007172359,0.023301141,0.196998907,0.047741119,0.220943137,0.08281631,0.021544344,0.001938657,0.000911116,0.047741119,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.577893316
CPD928,0.272102196,0.285185108,0.526451799,0.472192325,0.662844654,0.245204179,0.424587421,0.436234099,0.919662445,0.744195713,0.501938378,0.703279976,1,0.785179699,0.56923484,0.958566037,0.658543892,0.61786919,0.145010332,0.346335115,0.295473333,0.296686678,0.563466401,0.590570121,0.815404384,0.497385617,0.060679373,0.566432866,0.61494913,0.852500937,0.938016917,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.370318813,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.963327141,0.279688036,0.254321849,0.17488371,0.476328805,0.336823179,0.803739066,0.557219288,0.171723184,0.156558532,0.729626039,0.203312007,0.769082114,0.881022638,0.90576413,0.428000812,0.869080022,0.61059784,0.187898631,0.84091881,0.484014937,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.881213522,0.199678494,0.224587657,0.281816427,0.420524808,0.78212849,0.623554721,0.040953199,0.674068238,0.888324553,0.748896919,0.290040098,0.708767837,NA,0.599491751,NA,0.767342265,NA,0.38363713,NA,NA,0.652659994,0.221416468,0.30838274,0.832315396,0.170157574,0.001027994,0.012398353,0.530007191,0.002127766,0.008949659,0.124745734,0.002212598,0.074233569,0.008949659,0.590661339,0.062067795,0.008526099,0.000784738,0.006224014,0.008949659,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.840674967
CPD130,0.333601087,0.327952835,0.902369684,0.554079042,0.928237677,0.413785279,0.896294086,0.324387987,0.204131513,0.657985138,0.168419054,0.399795874,0.783333333,0.99622889,0.084890359,0.555945127,0.526564677,0.298241628,0.426557175,0.057379863,0.061797064,0.627559304,0.426269815,0.018473579,0.309401173,0.309401173,0.291978354,0.02694848,0.022752995,0.726281357,0.327451063,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.306110334,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.07266308,0.050293751,0.058491655,0.03584886,0.144914498,0.077924999,0.017200777,0.030298492,0.048391638,0.685958524,0.541980875,0.182088615,0.497889796,0.169426749,0.140619936,0.222529194,0.470255521,0.978407199,0.149884438,0.773283851,0.218759819,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.813257156,0.269666837,0.704776371,0.050745685,0.044135401,0.851469306,0.412031436,0.828811409,0.964286711,0.421684684,0.966820274,0.847964098,0.218387427,NA,0.535640052,NA,0.475632046,NA,0.490653745,NA,NA,0.686169167,0.56927211,0.40521536,0.007871075,0.775722693,0.121794087,0.160224304,0.266812583,0.190181915,0.269666837,0.35197419,0.068967376,0.555118338,0.269666837,0.818088808,0.311680533,0.109244325,0.074526287,0.013507334,0.269666837,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
